sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-guardduty-to-slack,366.09090909090907,11.454545454545455,,4.909090909090909,1098.0,,6.454545454545454,2266.4545454545455,11.0,0.0,AWS,0.0,100.0
aws-samples/amazon-guardduty-waf-acl,31.5,4.285714285714286,,0.8571428571428571,454.2857142857143,,1.0,1705.25,4.0,3.0,AWS,42.857142857142854,57.14285714285714
aws-samples/amazon-honeycode-connect-integration-sample,7.0,3.0,,1.0,3095.0,,1.0,3102.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-honeycode-quicksight-integration-sample,51.0,4.5,,36.0,1745.0,,71.0,561.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-inspector-network-reachability-workshop,0.5,1.5,,4.5,1820.5,,4.5,1821.5,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ivs-chime-web-demo,3.0,3.0,,0.0,2198.0,,6.0,234.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ivs-clip-web-demo,35.0,2.0,,6.5,2459.5,,8.5,1055.5,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ivs-closed-captions-web-demo,,6.0,,24.0,3051.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ivs-feed-web-demo,45.0,3.0,,0.0,159.0,,6.0,312.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ivs-player-android-sample,68.33333333333333,6.666666666666667,,4.666666666666667,2068.3333333333335,,5.333333333333333,2096.6666666666665,3.0,6.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-ivs-player-ios-sample,18.6,5.8,,15.4,2388.2,,11.0,3076.2,5.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ivs-player-web-sample,37.357142857142854,16.11764705882353,,16.176470588235293,2604.705882352941,,21.714285714285715,3709.6428571428573,14.0,3.0,AWS,17.647058823529413,82.35294117647058
aws-samples/amazon-ivs-qos-dashboard-timed-metadata-sample,3.111111111111111,19.333333333333332,,3.3333333333333335,2699.75,,2.2222222222222223,2800.4444444444443,9.0,3.0,AWS,25.0,75.0
